Released,Title,ProdBudget,DomesticBO,InternationalBO,CPI,InflAdjBudget,InflAdjDomesticBO
1998-08-21,Dead Man on Campus,1.4e+07,15064948,0,163.4,21628800.4895961,23274053.9055814
1999-05-19,Star Wars Ep. I: The Phantom Menace,1.15e+08,474544677,552500000,166.2,174671991.576414,720779685.422401
1999-08-06,The Sixth Sense,4e+07,293506292,379300000,167.1,60428246.5589467,443401764.489455
1999-11-19,Toy Story 2,9e+07,245852179,265506097,168.3,134994117.647059,368762199.730131
1999-06-10,Austin Powers: The Spy Who Shagged Me,3.5e+07,206040085,106343402,166.2,53161040.9145608,312951582.534988
1999-03-31,The Matrix,6.5e+07,171479930,292037453,165,99445666.6666667,262352860.904667
1999-06-16,Tarzan,1.45e+08,171091819,277100000,166.2,220238598.074609,259869119.714447
1999-06-25,Big Daddy,3e+07,163479795,65161488,166.2,45566606.4981949,248307316.305686
1999-05-07,The Mummy,8e+07,155385488,2.61e+08,166.2,121510950.661853,236012979.5742
1999-07-30,Runaway Bride,7e+07,152257509,157880669,166.7,106003179.364127,230568286.22946
1999-07-14,The Blair Witch Project,6e+05,140539099,107760901,166.7,908598.680263947,212822733.12814
1999-12-17,Stuart Little,1.05e+08,140015224,158800000,168.3,157493137.254902,210013684.67817
1999-12-10,The Green Mile,6e+07,136801374,153900000,168.3,89996078.4313725,205193119.733725
1999-09-15,American Beauty,1.5e+07,130058047,226200000,167.9,22552620.6075045,195543319.396266
1999-11-19,The World is Not Enough,1.35e+08,126930660,234800000,168.3,202491176.470588,190387693.878431
1999-09-24,Double Jeopardy,4e+07,116735231,61100000,167.9,60140321.6200119,175512358.41816
1999-05-28,Notting Hill,4.2e+07,116089678,247638548,166.2,63793249.0974729,176327089.197605
1999-06-30,Wild Wild West,1.75e+08,113805681,107423654,166.2,265805204.572804,172857956.11287
1999-03-05,Analyze This,3e+07,106885658,7e+07,165,45898000,163527931.029467
1999-06-18,The General's Daughter,6e+07,102705852,4.7e+07,166.2,91133212.9963899,155998571.438195
1999-07-09,American Pie,1.2e+07,101800948,132922200,166.7,18171973.6052789,154160345.004031
1999-11-19,Sleepy Hollow,7e+07,101068340,1.06e+08,168.3,104995424.836601,151595904.226144
