Released,Title,Genre,ProductionBudget,DomesticBox Office,Infl. Adj. Dom.Box Office,InternationalBox Office,WorldwideBox Office
2002-04-19,My Big Fat Greek Wedding,Romantic Comedy,5e+06,241438208,371991336,133451826,374890034
2002-08-02,Signs,Thriller/Suspense,70702619,227969295,351947117,180300000,408269295
2002-07-25,Austin Powers in Goldmember,Comedy,6.3e+07,213117789,329030382,83220874,296338663
2002-07-03,Men in Black 2,Action,1.4e+08,190418803,293985650,251349000,441767803
2002-03-15,Ice Age,Adventure,6.5e+07,176387405,272322715,209728938,386116343
2002-12-27,Chicago,Musical,3e+07,170687518,254428847,136083027,306770545
2002-12-25,Catch Me if You Can,Drama,5.2e+07,164606800,250351274,191005491,355612291
2002-11-22,Die Another Day,Action,1.42e+08,160942139,248072983,2.71e+08,431942139
2002-06-14,Scooby-Doo,Adventure,8.4e+07,153294164,236669297,1.23e+08,276294164
2002-06-21,Lilo & Stitch,Adventure,8e+07,145771527,225055174,100028473,245800000
2002-08-09,xXx,Action,7e+07,141930000,219124282,125270000,267200000
2002-11-01,The Santa Clause 2,Adventure,6.5e+07,139225854,214895976,33600000,172825854
2002-06-21,Minority Report,Action,1.02e+08,132024714,203831607,226800000,358824714
2002-10-18,The Ring,Horror,4.8e+07,129094024,199201966,119124462,248218486
2002-09-27,Sweet Home Alabama,Comedy,3.8e+07,127214072,196341011,55151042,182365114
2002-06-28,Mr. Deeds,Comedy,5e+07,126293452,194983177,44976083,171269535
2002-06-14,The Bourne Identity,Thriller/Suspense,6e+07,121468960,187534687,92888411,214357371
2002-05-31,The Sum of All Fears,Action,6.8e+07,118471320,182906660,75028680,193500000
2002-11-08,8 Mile,Drama,4.1e+07,116724075,180127216,129044309,245768384
2002-07-12,Road to Perdition,Drama,8e+07,104054514,160648699,79300000,183354514
2002-03-29,Panic Room,Thriller/Suspense,4.8e+07,95308367,147145611,1.01e+08,196308367
2002-12-13,Maid in Manhattan,Romantic Comedy,5.5e+07,93932896,144030420,69905321,163838217
2002-12-20,Two Weeks Notice,Romantic Comedy,6e+07,93354918,142747154,105688391,199043309
2002-04-19,Space Station,Documentary,0,93231060,130507634,33282126,126513186
2002-10-04,Red Dragon,Thriller/Suspense,7.8e+07,92955420,143512923,113500000,206455420
2002-04-19,The Scorpion King,Action,6e+07,90580000,139845538,75310634,165890634
2002-08-07,Spy Kids 2: The Island of Lost Dreams,Adventure,3.8e+07,85846296,132521677,33875000,119721296
2002-03-22,Blade 2,Action,5.4e+07,81676888,126100116,72661713,154338601
2002-01-18,Snow Dogs,Adventure,3.2e+07,81150692,125287722,35747336,116898028
2002-03-01,We Were Soldiers,Drama,7e+07,78120196,120608970,36538066,114658262
2002-12-20,Gangs of New York,Drama,9.7e+07,77730500,118280967,105394121,183124621
2002-09-13,Barbershop,Comedy,1.2e+07,75781642,116967374,1281819,77063461
2002-03-29,The Rookie,Drama,2.2e+07,75600072,116718178,4891444,80491516
2002-05-24,Spirit: Stallion of the Cimarron,Adventure,8e+07,73215310,113036370,33300000,106515310
2002-02-15,John Q,Drama,3.6e+07,71026631,109657290,31200000,102226631
2002-06-07,The Divine Secrets of the Ya-Ya Siste…,Comedy,2.7e+07,69586544,107433950,4240224,73826768
2002-05-24,Insomnia,Thriller/Suspense,4.6e+07,67263182,103846937,46359317,113622499
2002-04-12,Changing Lanes,Thriller/Suspense,4.5e+07,66790248,103116779,0,66790248
2002-12-13,About Schmidt,Drama,3e+07,65005217,97376831,42049267,107054484
2002-07-19,Stuart Little 2,Adventure,1.2e+08,64956806,100286152,101043194,1.66e+08
2002-10-25,Jackass: The Movie,Comedy,5e+06,64282312,99240680,1.5e+07,79282312
2002-03-08,The Time Machine,Adventure,8e+07,56684819,87515114,42298771,98983590
2002-12-13,Drumline,Comedy,2e+07,56398162,86573533,0,56398162
2002-01-25,The Count of Monte Cristo,Drama,4e+07,54228104,83722213,21160986,75389090
2002-05-08,Unfaithful,Drama,5e+07,52752475,81444003,66362019,119114494
2002-07-03,Like Mike,Adventure,3e+07,51432423,79405992,1.1e+07,62432423
2002-09-27,The Tuxedo,Action,6e+07,50586000,78076844,53843625,104429625
2002-02-15,Peter Pan: Return to Neverland,Adventure,2e+07,48430258,74770978,61432424,109862682
2002-02-08,Big Fat Liar,Adventure,1.5e+07,47811275,73815341,4649742,52461017
2002-12-13,Star Trek: Nemesis,Adventure,6e+07,43254409,66586902,24058417,67312826
