title,startYear,url
The Happiness of the Katakuris,2001,https://www.rottentomatoes.com/m/happiness_of_the_katakuris
The Order,2003,https://www.rottentomatoes.com/m/order
Skinned Deep,2004,https://www.rottentomatoes.com/m/skinned_deep
Dark Water,2005,https://www.rottentomatoes.com/m/dark_water
The Human Stain,2003,https://www.rottentomatoes.com/m/human_stain
Final Destination 2,2003,https://www.rottentomatoes.com/m/final_destination_2
Maléfique,2002,https://www.rottentomatoes.com/m/malefique
Nikos the Impaler,2003,https://www.rottentomatoes.com/m/nikos_the_impaler
Vampire Clan,2002,https://www.rottentomatoes.com/m/vampire_clan
Willard,2003,https://www.rottentomatoes.com/m/willard
Jesus Christ Vampire Hunter,2001,https://www.rottentomatoes.com/m/jesus_christ_vampire_hunter
Anatomy 2,2003,https://www.rottentomatoes.com/m/anatomy_2
Bells of Innocence,2003,https://www.rottentomatoes.com/m/bells_of_innocence
Lord of the Vampires,2002,https://www.rottentomatoes.com/m/lord_of_the_vampires
One Point O,2004,https://www.rottentomatoes.com/m/one_point_o
Rachel's Attic,2002,https://www.rottentomatoes.com/m/rachels_attic
A Sound of Thunder,2005,https://www.rottentomatoes.com/m/a_sound_of_thunder
Resident Evil: Apocalypse,2004,https://www.rottentomatoes.com/m/resident_evil_apocalypse
Brothel,2008,https://www.rottentomatoes.com/m/brothel
My Left Eye Sees Ghosts,2002,https://www.rottentomatoes.com/m/my_left_eye_sees_ghosts
Snake Island,2002,https://www.rottentomatoes.com/m/snake_island
Centipede!,2004,https://www.rottentomatoes.com/m/centipede
Gore from Outer Space,2001,https://www.rottentomatoes.com/m/gore_from_outer_space
Krai Thong,2001,https://www.rottentomatoes.com/m/krai_thong
Midnight Mass,2003,https://www.rottentomatoes.com/m/midnight_mass
Phone,2002,https://www.rottentomatoes.com/m/phone
Suspect Zero,2004,https://www.rottentomatoes.com/m/suspect_zero
The Texas Chainsaw Massacre,2003,https://www.rottentomatoes.com/m/texas_chainsaw_massacre
The Eye,2002,https://www.rottentomatoes.com/m/eye
